species,fish_count,maximum_length,minimum_length,survey_ID,survey_date
BLB,"[[10, 1], [11, 2], [12, 4], [13, 7], [14, 12], [15, 4], [5, 1], [8, 2], [9, 4]]",15,5,117745,2001-05-30
SNG,"[[23, 1], [24, 2]]",24,23,117745,2001-05-30
YEB,"[[10, 1], [12, 1], [8, 1]]",12,8,14801922053434000,2019-09-23
WTS,"[[10, 5], [11, 5], [12, 8], [13, 1], [14, 1], [15, 3], [16, 2], [17, 10], [18, 3], [19, 1], [6, 1], [9, 2]]",19,6,14801922053434000,2019-09-23
GSF,"[[7, 1]]",7,7,14801922053434000,2019-09-23
WAE,"[[5, 2], [6, 16], [7, 18], [8, 5], [12, 1], [13, 11], [14, 9], [15, 1], [16, 6], [17, 8], [18, 13], [19, 14], [20, 6], [21, 2], [22, 3], [23, 3], [26, 1], [27, 1]]",27,5,14801922053434000,2019-09-23
QBS,"[[17, 1]]",17,17,14801922053434000,2019-09-23
LKS,"[[16, 4], [18, 1], [22, 1], [23, 1], [24, 1], [29, 1], [30, 1], [32, 1], [34, 3], [37, 1], [38, 1]]",38,16,14801922053434000,2019-09-23
CCF,"[[18, 1], [31, 1]]",31,18,14801922053434000,2019-09-23
BLG,"[[0, 98], [1, 1891], [3, 4], [4, 12], [5, 39], [6, 33], [7, 10], [8, 13], [9, 6]]",9,1,14801922053434000,2019-09-23
BLB,"[[11, 1], [14, 2], [15, 1], [8, 3]]",15,8,14801922053434000,2019-09-23
BRB,"[[15, 1], [16, 1]]",16,15,14801922053434000,2019-09-23
CAP,"[[10, 1], [7, 1], [8, 2]]",10,7,14801922053434000,2019-09-23
LMB,"[[1, 2], [2, 13], [3, 9], [10, 1]]",10,1,14801922053434000,2019-09-23
SHR,"[[17, 2], [18, 1], [19, 1]]",19,17,14801922053434000,2019-09-23
NOP,"[[20, 1], [24, 3], [25, 3], [26, 1], [27, 1], [28, 1], [29, 1], [30, 1], [33, 1], [36, 2]]",36,20,14801922053434000,2019-09-23
BIB,"[[14, 2]]",14,14,14801922053434000,2019-09-23
BLC,"[[2, 35], [11, 1], [6, 2], [7, 34], [8, 7], [9, 2]]",11,2,14801922053434000,2019-09-23
YEP,"[[10, 82], [11, 27], [12, 1], [5, 194], [6, 428], [7, 427], [8, 224], [9, 167], [2, 1253], [3, 51]]",12,2,14801922053434000,2019-09-23
WHB,"[[10, 1], [11, 9], [12, 3], [13, 11], [14, 21], [15, 10], [16, 5], [5, 9], [6, 16], [7, 3], [3, 2], [4, 5]]",16,3,14801922053434000,2019-09-23
FRD,"[[10, 13], [11, 11], [12, 1], [14, 6], [15, 14], [16, 12], [17, 2], [18, 1], [19, 2], [4, 4], [5, 49], [6, 47], [7, 1]]",19,4,14801922053434000,2019-09-23
CSH,"[[5, 14], [6, 8]]",6,5,117619,1996-06-03
QBS,"[[17, 1], [19, 1]]",19,17,117619,1996-06-03
WAE,"[[11, 1], [12, 39], [13, 78], [14, 33], [15, 12], [16, 46], [17, 78], [18, 96], [19, 56], [20, 47], [21, 18], [22, 1], [23, 5], [24, 2], [26, 2], [6, 84], [7, 274], [8, 21], [9, 2]]",26,6,117619,1996-06-03
WTS,"[[10, 8], [11, 22], [12, 17], [13, 7], [14, 4], [15, 10], [16, 14], [17, 21], [18, 13], [19, 12], [20, 1], [21, 4], [5, 2], [6, 6], [7, 1], [8, 2], [9, 1]]",21,5,117619,1996-06-03
YEB,"[[10, 1], [11, 3], [12, 2], [13, 3], [14, 2], [15, 2], [8, 2], [9, 3]]",15,8,117619,1996-06-03
GLR,"[[19, 1]]",19,19,117619,1996-06-03
BLC,"[[3, 3], [4, 3], [7, 6], [8, 3]]",8,3,117619,1996-06-03
BIB,"[[20, 1], [22, 1], [5, 1], [6, 1]]",22,5,117619,1996-06-03
RKB,"[[5, 2], [6, 10], [7, 7], [8, 1]]",8,5,117619,1996-06-03
FRD,"[[11, 5], [14, 1], [19, 1], [20, 3], [21, 1], [23, 1], [4, 100], [5, 1679], [6, 159]]",23,4,117619,1996-06-03
WHB,"[[7, 3]]",7,7,117619,1996-06-03
YEP,"[[10, 24], [11, 4], [12, 4], [13, 1], [3, 3], [4, 19], [5, 139], [6, 405], [7, 1475], [8, 802], [9, 31]]",13,3,117619,1996-06-03
CAP,"[[15, 1], [17, 1], [19, 1], [24, 3], [26, 3], [28, 1], [29, 1], [30, 1], [31, 3], [4, 1], [5, 1], [6, 1], [7, 10], [8, 6], [9, 4]]",31,4,117619,1996-06-03
NOP,"[[11, 1], [12, 1], [13, 1], [20, 1], [21, 2], [23, 2], [25, 2], [27, 1]]",27,11,117619,1996-06-03
SHR,"[[10, 3], [12, 2], [14, 2], [15, 1], [17, 1], [8, 2], [9, 2]]",17,8,117619,1996-06-03
LMB,"[[10, 1], [11, 1], [5, 3]]",11,5,117619,1996-06-03
BLB,"[[10, 34], [11, 7], [12, 1], [13, 1], [14, 2], [6, 3], [7, 8], [8, 33], [9, 45]]",14,6,117619,1996-06-03
BLG,"[[4, 1], [5, 1], [6, 1]]",6,4,117619,1996-06-03
GLR,"[[10, 1], [11, 1], [13, 1]]",13,10,117644,1997-06-09
YEB,"[[10, 6], [11, 5], [13, 3], [14, 6], [15, 1], [8, 3], [9, 4]]",15,8,117644,1997-06-09
SPO,"[[4, 1], [5, 1]]",5,4,117644,1997-06-09
WTS,"[[10, 5], [12, 9], [13, 1], [14, 6], [15, 15], [16, 19], [17, 27], [18, 28], [19, 18], [20, 9], [21, 2], [22, 1], [6, 1], [9, 1]]",22,6,117644,1997-06-09
GSF,"[[6, 1]]",6,6,117644,1997-06-09
GOS,"[[5, 1]]",5,5,117644,1997-06-09
WAE,"[[10, 82], [11, 21], [12, 9], [13, 5], [14, 8], [15, 9], [16, 5], [17, 14], [18, 17], [19, 12], [20, 11], [21, 10], [22, 10], [23, 1], [25, 2], [26, 1], [6, 10], [7, 11], [8, 60], [9, 100]]",26,6,117644,1997-06-09
QBS,"[[11, 1], [20, 1]]",20,11,117644,1997-06-09
CSH,"[[4, 1], [5, 2]]",5,4,117644,1997-06-09
BLG,"[[4, 1], [5, 4], [6, 2], [7, 2]]",7,4,117644,1997-06-09
SNG,"[[23, 1]]",23,23,117644,1997-06-09
BLB,"[[10, 22], [11, 14], [12, 1], [13, 7], [15, 2], [6, 1], [7, 2], [8, 5], [9, 12]]",15,6,117644,1997-06-09
