city_name,city_longitude,city_latitude
Dunnell,-94.7744283,43.5594009
Elba,-92.0187721,44.0885748
Roscoe,-92.7715835,44.2252419
Clontarf,-95.678651,45.37635
Burtrum,-94.685014,45.8674652
Federal Dam,-94.2159789,47.2457909
Foxhome,-96.3096553,46.2769985
Harding,-94.0408212,46.1160753
Lastrup,-94.0633217,46.0394091
Odin,-94.7427574,43.8663451
Wolverton,-96.73369,46.563295
Beaver Bay,-91.3002214,47.2577364
Garvin,-95.7582891,44.2157398
Ormsby,-94.6977554,43.8482894
Marietta,-96.417551,45.008297
Riverton,-94.0519325,46.4599643
Brooks,-96.0011917,47.8145891
Elmdale,-94.4925055,45.8332987
Brookston,-92.6038061,46.8677233
Biscay,-94.2749801,44.8274625
De Graff,-95.4678064,45.2632935
Avoca,-95.643418,43.949721
Perley,-96.8047502,47.1776695
Woodstock,-96.100581,44.009134
Goodridge,-95.80385903313278,48.144108
Effie,-93.6429682,47.84022
Quamba,-93.1732727,45.9155122
Iron Junction,-92.6034597,47.4188278
Mentor,-96.1411666,47.6984235
Trommald,-94.0183192,46.5052416
McKinley,-92.4110144,47.5127038
Odessa,-96.328943,45.259687
Trosky,-96.256976,43.889137
Comstock,-96.748414,46.659407
Danvers,-95.7519839,45.2819049
Millerville,-95.5625433,46.0674611
Squaw Lake,-94.1363333,47.6324527
